,,,,,,,,,,,,,
program,measure,subtype,fuel,u_value_or_efficiency_req,requirements_summary,incentive_value,unit,customer_cost_share_note,status,effective_date,source,expected_unit_price,
Standard,Ductless Heat Pump,Single‑Family,Electric,HSPF2 \u2265 8.10,Replace electric resistance heat; indoor unit in main living space,800,$,Customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Ductless%20Heat%20Pump%20Installed%20in,HVAC%20%24800,5000
Standard,Ductless Heat Pump,Rental Property,Electric,HSPF2 \u2265 8.10,Replace electric resistance heat; indoor unit in main living space,1800,$,Incentive paid to trade ally,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Ductless%20Heat%20Pump%20Installed%20in,HVAC%20%24800,5000
Savings Within Reach,Ductless Heat Pump,Single‑Family,Electric,HSPF2 \u2265 8.10,Replace electric resistance heat; indoor unit in main living space,1800,$,Income‑qualified; trade ally; customer pays remainder,active,2025-04-01,https://www.drheating.com/energytrust-of-oregon/#:~:text=,%E2%80%93%20%241%2C600%20Savings%20Within%20Reach,5000
Standard,Ducted Heat Pump,Single‑Family,Electric,HSPF2 \u2265 7.50,Replace electric forced‑air furnace; thermostat lockout \u226435°F; no backup gas heat,1000,$,Customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Ducted%20Heat%20Pump%20320C,Only%20available%20to,8000
Standard,Ducted Heat Pump,Rental Property,Electric,HSPF2 \u2265 7.50,Replace electric forced‑air furnace; same requirements,3000,$,Incentive paid to trade ally,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Ducted%20Heat%20Pump%20Installed%20in,1%20320SWR%20%243%2C000,8000
Savings Within Reach,Ducted Heat Pump,Single‑Family,Electric,HSPF2 \u2265 7.50,Replace electric forced‑air furnace; same requirements,3000,$,Income‑qualified; trade ally; customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Ducted%20Heat%20Pump%20Installed%20in,1%20320SWR%20%243%2C000,8000
Standard,Extended Capacity Heat Pump,Single‑Family,Electric,Central ducted system,Qualifying central ducted system; auxiliary heat lockout; no backup gas heat,1000,$,Customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Extended%20Capacity%20Heat%20Pump%20320C,Extended%20Capacity%20Heat%20Pump,10000
Savings Within Reach,Extended Capacity Heat Pump,Single‑Family,Electric,Central ducted system,Same requirements as standard,2000,$,Income‑qualified; customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Extended%20Capacity%20Heat%20Pump%20,1%20320SWR%20%242%2C000,10000
Standard,Extended Capacity Heat Pump replacing electric forced‑air furnace,Single‑Family,Electric,Central ducted system,Replaces electric forced‑air furnace; auxiliary heat lockout; no backup gas heat,3000,$,Customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Pump%20Installed%20in%20a%20Rental,Unit%20must%20be%20a,10000
Standard,Heat Pump Controls,Single‑Family,Electric,N/A,Added to heat pump with electric furnace auxiliary heat; thermostat lockout 35°F; not combined with other controls,250,$,Customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Heat%20Pump%20Controls%20320C,Cannot%20be%20combined%20with%20other,500
Standard,Gas Fireplace (FE \u226575%),Single‑Family,Gas,FE \u226575%,Sealed combustion; electronic pilot; CO monitor required; available to NW Natural/Cascade/Avista,250,$,Customer pays remainder,active,2025-04-01,www.energytrust.org/wp-content/uploads/2016/12/HES_PI0320I.pdf#:~:text=Gas%20Fireplace%20320C,Cascade%20Natural%20Gas%2C%20or%20Avista,2400
